Year,Month,GEPU_current,GEPU_ppp,Australia,Brazil,Canada,Chile,Hybrid China,Colombia,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Netherlands,Russia,Spain,Singapore,UK,US,SCMP China,Mainland China,Sweden,Mexico,New Zealand,Hong Kong
2011,6,117.0690299,111.4291214,152.5920258,107.7116241,161.5382385,85.11424255,85.65188157,75.30284431,228.3782043,172.594696,103.8234148,105.5109558,95.02691778,97.67909241,119.5121646,129.9898834,111.9015895,92.58963013,144.1704559,114.4550252,198.1065979,139.0379028,39.5900116,102.6547133,106.8561414,69.66204071,98.63117,135.3500197
2011,7,155.3371701,154.4717838,229.3968353,123.5937119,203.4188843,108.9652328,157.2110366,94.78075699,211.3640137,184.0122986,131.8936622,155.3404541,62.50336466,125.6420288,147.7381645,134.7798462,76.85929925,162.2380219,156.8602448,153.0656359,194.1976471,207.1603088,207.3971863,99.84159509,144.5859361,80.08976746,169.1199,72.91728168
2011,8,214.4825106,211.6046997,337.0438538,205.8373871,337.307312,156.2464905,175.0736866,171.6580827,256.7083435,280.6147461,145.0592474,272.8744507,130.1563174,173.3881683,231.9514686,219.3811798,199.5275689,191.0654449,169.696579,215.8839473,203.312439,283.6655884,186.7314758,140.2647613,156.7298215,102.2837296,189.7553,330.1078244
2011,9,191.0082584,188.0258605,200.5741882,190.2132874,280.6702881,89.67692566,164.0230435,129.1752457,312.2534485,377.8437805,151.8769392,186.787384,121.6605715,171.9328003,150.4977588,248.3185883,233.731106,241.7758179,142.7769318,189.3588156,288.8650818,214.4261017,158.0556335,142.514988,125.521689,81.09629059,87.26608,245.4614213
2011,10,165.1819606,170.3027792,200.2594757,116.6124802,300.8335571,108.2352524,209.4383761,94.01068037,298.8521118,217.8192749,121.5844871,222.565918,210.4657305,203.889679,161.935871,187.1014252,123.0938969,158.8322601,136.2045135,175.4296957,334.3316345,137.8392487,238.70961,157.7215381,106.1911532,63.18464279,110.6071,211.753393
2011,11,197.6241811,204.3543084,287.1683655,146.2585754,399.8462524,116.7174454,266.8042084,129.2460305,361.369873,327.9483948,188.7045305,224.1403351,124.457571,218.4380035,156.9046343,221.1630707,172.2688474,271.6360779,177.7083893,207.4820899,380.2680054,143.7145538,363.5231018,161.8502214,112.658545,95.0062027,128.1108,326.3617074
2011,12,181.4695438,190.868141,218.7468567,154.2996979,309.3749084,174.387085,248.2233722,95.15846676,283.2514038,203.2061462,98.70882449,249.3388824,231.89294,188.1779633,136.6299239,270.3650208,135.12001,151.1230316,132.9154663,198.7546138,324.9390869,183.088623,324.4626465,159.6143965,96.68015571,47.94231415,143.8619,299.5103001
2012,1,160.950323,167.5651319,140.2663574,130.6059723,235.5164185,101.1902771,210.8822965,78.41654657,289.3977661,193.761673,103.2351222,183.1171112,165.8446676,179.2625732,137.4438893,254.8894043,134.6822894,205.8533783,148.6704407,171.8501077,252.6007385,154.4180298,298.7026367,120.4490894,74.66651295,68.65196991,93.07603,255.14963
2012,2,141.6594824,147.9091835,227.5104218,96.60444641,184.259552,63.67459106,195.932198,70.38922422,299.1496277,127.2582779,129.6861457,180.2292328,126.8727799,135.0156097,132.8511323,114.4012375,124.5874188,194.1283112,141.6598663,150.7798429,280.6376648,119.4354324,236.0895233,139.152505,101.0075517,67.52161407,99.58329,277.8677219
2012,3,134.3341679,148.0958717,134.0202026,175.3641968,187.7797089,94.25382996,197.257871,57.83364429,219.1388397,112.1820602,110.1730936,239.419281,142.6999249,140.9508514,114.8325421,111.1845932,157.7688424,219.3765869,152.1989746,143.1122583,254.3473816,98.74810791,242.7279968,136.7797916,74.17799674,43.30641556,70.305,181.5785795
